"time","snowdepth"
"24.04.2015",7
"25.04.2015",7
"26.04.2015",7
"27.04.2015",0
"28.04.2015",0
"29.04.2015",31
"30.04.2015",0
"01.05.2015",0
"02.05.2015",0
"03.05.2015",0
"04.05.2015",0
"05.05.2015",8
"06.05.2015",7
"07.05.2015",7
"08.05.2015",7
"09.05.2015",7
"10.05.2015",7
"11.05.2015",7
"12.05.2015",7
"13.05.2015",7
"14.05.2015",7
"15.05.2015",5
"16.05.2015",5
"17.05.2015",5
"18.05.2015",0
"19.05.2015",0
"20.05.2015",0
"21.05.2015",0
"22.05.2015",0
"23.05.2015",0
"24.05.2015",0
"25.05.2015",0
"26.05.2015",0
"27.05.2015",0
"28.05.2015",0
"29.05.2015",0
"30.05.2015",0
"31.05.2015",0
"01.06.2015",0
"02.06.2015",0
"03.06.2015",0
"04.06.2015",0
"05.06.2015",0
"06.06.2015",0
"07.06.2015",0
"08.06.2015",0
"09.06.2015",0
"01.08.2015",0
"02.08.2015",0
"03.08.2015",0
"04.08.2015",0
"05.08.2015",0
"06.08.2015",0
"07.08.2015",0
"08.08.2015",0
"09.08.2015",0
"10.08.2015",0
"11.08.2015",0
"12.08.2015",0
"13.08.2015",0
"14.08.2015",0
"15.08.2015",0
"16.08.2015",0
"17.08.2015",0
"18.08.2015",0
"19.08.2015",0
"20.08.2015",0
"21.08.2015",0
"22.08.2015",0
"23.08.2015",0
"24.08.2015",0
"25.08.2015",0
"26.08.2015",0
"27.08.2015",0
"28.08.2015",0
"29.08.2015",0
"30.08.2015",0
"31.08.2015",0
"01.09.2015",0
"02.09.2015",0
"03.09.2015",0
"04.09.2015",0
"05.09.2015",0
"06.09.2015",0
"07.09.2015",0
"08.09.2015",0
"09.09.2015",0
"10.09.2015",0
"11.09.2015",0
"12.09.2015",0
"13.09.2015",0
"14.09.2015",0
"15.09.2015",0
"16.09.2015",0
"17.09.2015",0
"18.09.2015",0
"19.09.2015",0
"20.09.2015",0
"21.09.2015",0
"22.09.2015",0
"23.09.2015",0
"24.09.2015",0
"25.09.2015",0
"26.09.2015",0
"27.09.2015",0
"28.09.2015",0
